vertex_id,perm,T1,T2,T3,T4,T5,T6
0,1,2,3,4,5,6,7,-1,-1,-1,-1,-1,-1
1,1,2,3,4,5,7,6,721,121,25,7,4,0
2,1,2,3,4,6,5,7,722,122,26,12,3,3
3,1,2,3,4,6,7,5,723,123,27,13,2,5
4,1,2,3,4,7,5,6,724,124,28,18,5,1
5,1,2,3,4,7,6,5,725,125,29,19,3,4
6,1,2,3,5,4,6,7,8,8,8,8,8,7
7,1,2,3,5,4,7,6,6,727,127,49,10,1
8,1,2,3,5,6,4,7,728,128,50,9,14,9
9,1,2,3,5,6,7,4,729,129,51,8,15,11
10,1,2,3,5,7,4,6,730,130,52,11,20,7
11,1,2,3,5,7,6,4,731,131,53,9,21,10
12,1,2,3,6,4,5,7,732,132,72,14,13,13
13,1,2,3,6,4,7,5,733,133,73,16,12,3
14,1,2,3,6,5,4,7,734,134,74,15,12,15
15,1,2,3,6,5,7,4,735,135,75,14,17,9
16,1,2,3,6,7,4,5,736,136,76,17,13,22
17,1,2,3,6,7,5,4,737,137,77,15,16,23
18,1,2,3,7,4,5,6,738,138,96,20,19,4
19,1,2,3,7,4,6,5,739,139,97,22,5,18
20,1,2,3,7,5,4,6,740,140,98,21,18,10
21,1,2,3,7,5,6,4,741,141,99,11,23,20
22,1,2,3,7,6,4,5,742,142,100,23,16,19
23,1,2,3,7,6,5,4,743,143,101,17,22,21
24,1,2,4,3,5,6,7,30,30,30,30,30,25
25,1,2,4,3,5,7,6,24,745,241,31,1,28
26,1,2,4,3,6,5,7,746,242,36,2,27,27
27,1,2,4,3,6,7,5,747,243,37,3,26,29
28,1,2,4,3,7,5,6,748,244,42,4,29,25
29,1,2,4,3,7,6,5,749,245,43,5,27,28
30,1,2,4,5,3,6,7,32,32,32,32,32,31
31,1,2,4,5,3,7,6,30,751,247,34,55,25
32,1,2,4,5,6,3,7,752,248,33,56,38,33
33,1,2,4,5,6,7,3,753,249,32,57,39,35
34,1,2,4,5,7,3,6,754,250,35,58,44,31
35,1,2,4,5,7,6,3,755,251,33,59,45,34
36,1,2,4,6,3,5,7,756,252,38,78,37,37
37,1,2,4,6,3,7,5,757,253,40,79,36,27
38,1,2,4,6,5,3,7,758,254,39,80,36,39
39,1,2,4,6,5,7,3,759,255,38,81,41,33
40,1,2,4,6,7,3,5,760,256,41,82,37,46
41,1,2,4,6,7,5,3,761,257,39,83,40,47
42,1,2,4,7,3,5,6,762,258,44,102,43,28
43,1,2,4,7,3,6,5,763,259,46,103,29,42
44,1,2,4,7,5,3,6,764,260,45,104,42,34
45,1,2,4,7,5,6,3,765,261,35,105,47,44
46,1,2,4,7,6,3,5,766,262,47,106,40,43
47,1,2,4,7,6,5,3,767,263,41,107,46,45
48,1,2,5,3,4,6,7,50,50,50,50,50,49
49,1,2,5,3,4,7,6,48,769,361,55,52,7
50,1,2,5,3,6,4,7,770,362,60,51,8,51
51,1,2,5,3,6,7,4,771,363,61,50,9,53
52,1,2,5,3,7,4,6,772,364,66,53,10,49
53,1,2,5,3,7,6,4,773,365,67,51,11,52
54,1,2,5,4,3,6,7,56,56,56,56,56,55
55,1,2,5,4,3,7,6,54,775,367,58,49,31
56,1,2,5,4,6,3,7,776,368,57,62,32,57
57,1,2,5,4,6,7,3,777,369,56,63,33,59
58,1,2,5,4,7,3,6,778,370,59,68,34,55
59,1,2,5,4,7,6,3,779,371,57,69,35,58
60,1,2,5,6,3,4,7,780,372,62,61,84,61
61,1,2,5,6,3,7,4,781,373,64,60,85,51
62,1,2,5,6,4,3,7,782,374,63,60,86,63
63,1,2,5,6,4,7,3,783,375,62,65,87,57
64,1,2,5,6,7,3,4,784,376,65,61,88,70
65,1,2,5,6,7,4,3,785,377,63,64,89,71
66,1,2,5,7,3,4,6,786,378,68,67,108,52
67,1,2,5,7,3,6,4,787,379,70,53,109,66
68,1,2,5,7,4,3,6,788,380,69,66,110,58
69,1,2,5,7,4,6,3,789,381,59,71,111,68
70,1,2,5,7,6,3,4,790,382,71,64,112,67
71,1,2,5,7,6,4,3,791,383,65,70,113,69
72,1,2,6,3,4,5,7,792,480,78,74,73,73
73,1,2,6,3,4,7,5,793,481,79,76,72,13
74,1,2,6,3,5,4,7,794,482,84,75,72,75
75,1,2,6,3,5,7,4,795,483,85,74,77,15
76,1,2,6,3,7,4,5,796,484,90,77,73,16
77,1,2,6,3,7,5,4,797,485,91,75,76,17
78,1,2,6,4,3,5,7,798,486,80,72,79,79
79,1,2,6,4,3,7,5,799,487,82,73,78,37
80,1,2,6,4,5,3,7,800,488,81,86,78,81
81,1,2,6,4,5,7,3,801,489,80,87,83,39
82,1,2,6,4,7,3,5,802,490,83,92,79,40
83,1,2,6,4,7,5,3,803,491,81,93,82,41
84,1,2,6,5,3,4,7,804,492,86,85,74,85
85,1,2,6,5,3,7,4,805,493,88,84,75,61
86,1,2,6,5,4,3,7,806,494,87,84,80,87
87,1,2,6,5,4,7,3,807,495,86,89,81,63
88,1,2,6,5,7,3,4,808,496,89,85,94,64
89,1,2,6,5,7,4,3,809,497,87,88,95,65
90,1,2,6,7,3,4,5,810,498,92,91,76,114
91,1,2,6,7,3,5,4,811,499,94,77,90,115
92,1,2,6,7,4,3,5,812,500,93,90,82,116
93,1,2,6,7,4,5,3,813,501,83,95,92,117
94,1,2,6,7,5,3,4,814,502,95,88,91,118
95,1,2,6,7,5,4,3,815,503,89,94,93,119
96,1,2,7,3,4,5,6,816,600,102,98,97,18
97,1,2,7,3,4,6,5,817,601,103,100,19,96
98,1,2,7,3,5,4,6,818,602,108,99,96,20
99,1,2,7,3,5,6,4,819,603,109,21,101,98
100,1,2,7,3,6,4,5,820,604,114,101,22,97
101,1,2,7,3,6,5,4,821,605,115,23,100,99
102,1,2,7,4,3,5,6,822,606,104,96,103,42
103,1,2,7,4,3,6,5,823,607,106,97,43,102
104,1,2,7,4,5,3,6,824,608,105,110,102,44
105,1,2,7,4,5,6,3,825,609,45,111,107,104
106,1,2,7,4,6,3,5,826,610,107,116,46,103
107,1,2,7,4,6,5,3,827,611,47,117,106,105
108,1,2,7,5,3,4,6,828,612,110,109,98,66
109,1,2,7,5,3,6,4,829,613,112,67,99,108
110,1,2,7,5,4,3,6,830,614,111,108,104,68
111,1,2,7,5,4,6,3,831,615,69,113,105,110
112,1,2,7,5,6,3,4,832,616,113,70,118,109
113,1,2,7,5,6,4,3,833,617,71,112,119,111
114,1,2,7,6,3,4,5,834,618,116,115,90,100
115,1,2,7,6,3,5,4,835,619,118,91,114,101
116,1,2,7,6,4,3,5,836,620,117,114,92,106
117,1,2,7,6,4,5,3,837,621,93,119,116,107
118,1,2,7,6,5,3,4,838,622,119,94,115,112
119,1,2,7,6,5,4,3,839,623,95,118,117,113
120,1,3,2,4,5,6,7,144,144,144,144,144,121
121,1,3,2,4,5,7,6,120,1441,145,1,127,124
122,1,3,2,4,6,5,7,1442,146,2,132,123,123
123,1,3,2,4,6,7,5,1443,147,3,133,122,125
124,1,3,2,4,7,5,6,1444,148,4,138,125,121
125,1,3,2,4,7,6,5,1445,149,5,139,123,124
126,1,3,2,5,4,6,7,128,128,128,128,128,127
127,1,3,2,5,4,7,6,126,1447,169,7,130,121
128,1,3,2,5,6,4,7,1448,170,8,129,134,129
129,1,3,2,5,6,7,4,1449,171,9,128,135,131
130,1,3,2,5,7,4,6,1450,172,10,131,140,127
131,1,3,2,5,7,6,4,1451,173,11,129,141,130
132,1,3,2,6,4,5,7,1452,192,12,134,133,133
133,1,3,2,6,4,7,5,1453,193,13,136,132,123
134,1,3,2,6,5,4,7,1454,194,14,135,132,135
135,1,3,2,6,5,7,4,1455,195,15,134,137,129
136,1,3,2,6,7,4,5,1456,196,16,137,133,142
137,1,3,2,6,7,5,4,1457,197,17,135,136,143
138,1,3,2,7,4,5,6,1458,216,18,140,139,124
139,1,3,2,7,4,6,5,1459,217,19,142,125,138
140,1,3,2,7,5,4,6,1460,218,20,141,138,130
141,1,3,2,7,5,6,4,1461,219,21,131,143,140
142,1,3,2,7,6,4,5,1462,220,22,143,136,139
143,1,3,2,7,6,5,4,1463,221,23,137,142,141
144,1,3,4,2,5,6,7,150,150,150,150,150,145
145,1,3,4,2,5,7,6,144,1465,151,265,121,148
146,1,3,4,2,6,5,7,1466,156,266,122,147,147
147,1,3,4,2,6,7,5,1467,157,267,123,146,149
148,1,3,4,2,7,5,6,1468,162,268,124,149,145
149,1,3,4,2,7,6,5,1469,163,269,125,147,148
150,1,3,4,5,2,6,7,152,152,152,152,152,151
151,1,3,4,5,2,7,6,150,1471,154,271,175,145
152,1,3,4,5,6,2,7,1472,153,272,176,158,153
153,1,3,4,5,6,7,2,1473,152,273,177,159,155
154,1,3,4,5,7,2,6,1474,155,274,178,164,151
155,1,3,4,5,7,6,2,1475,153,275,179,165,154
156,1,3,4,6,2,5,7,1476,158,276,198,157,157
157,1,3,4,6,2,7,5,1477,160,277,199,156,147
158,1,3,4,6,5,2,7,1478,159,278,200,156,159
159,1,3,4,6,5,7,2,1479,158,279,201,161,153
160,1,3,4,6,7,2,5,1480,161,280,202,157,166
161,1,3,4,6,7,5,2,1481,159,281,203,160,167
162,1,3,4,7,2,5,6,1482,164,282,222,163,148
163,1,3,4,7,2,6,5,1483,166,283,223,149,162
164,1,3,4,7,5,2,6,1484,165,284,224,162,154
165,1,3,4,7,5,6,2,1485,155,285,225,167,164
166,1,3,4,7,6,2,5,1486,167,286,226,160,163
167,1,3,4,7,6,5,2,1487,161,287,227,166,165
168,1,3,5,2,4,6,7,170,170,170,170,170,169
169,1,3,5,2,4,7,6,168,1489,175,385,172,127
170,1,3,5,2,6,4,7,1490,180,386,171,128,171
171,1,3,5,2,6,7,4,1491,181,387,170,129,173
172,1,3,5,2,7,4,6,1492,186,388,173,130,169
173,1,3,5,2,7,6,4,1493,187,389,171,131,172
